avaliacao,empresa,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita,senioridade,cargo,salario_medio,cidade_vaga,estado_vaga,pais_vaga,cidade_sede,pais_sede,escala_tamanho,remoto,latitude,longitude,nome_estado_vaga
2.2,Great-Circle Technologies,1 to 50 employees,2000.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),,Data scientist,103.0,Chantilly,VA,United States of America,Chantilly,United States of America,Pequeno,False,38.8865,-77.4393,Virginia
3.4,Edmunds.com,501 to 1000 employees,1966.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),Senior,Data scientist,103.0,Santa Monica,CA,United States of America,Santa Monica,United States of America,Médio,False,34.017628,-118.490708,California
3.1,"Cambridge Associates, LLC",501 to 1000 employees,1973.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,Data analyst,103.0,Boston,MA,United States of America,Boston,United States of America,Médio,False,42.357603,-71.068432,Massachusetts
3.4,Liberty Mutual Insurance,10000+ employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),,Machine learning engineer,103.0,Portsmouth,NH,United States of America,Boston,United States of America,Corporação,False,43.066524,-70.780412,New Hampshire
2.6,Cenlar,1001 to 5000 employees,1958.0,Company - Private,,,$100 to $500 million (USD),,Data analyst,103.0,Ewing,NJ,United States of America,Ewing,United States of America,Grande,False,40.237687,-74.782062,New Jersey
5.0,Arsenal Biosciences,51 to 200 employees,2019.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,outro,103.0,South San Francisco,CA,United States of America,South San Francisco,United States of America,Pequeno,False,37.65382,-122.4347,California
4.2,Eversight,51 to 200 employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,Data scientist,103.0,Palo Alto,CA,United States of America,Palo Alto,United States of America,Pequeno,False,37.444324,-122.149685,California
4.1,Pfizer,10000+ employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,outro,103.0,Cambridge,MA,United States of America,New York,United States of America,Corporação,False,42.377045,-71.125611,Massachusetts
4.8,Klaviyo,201 to 500 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Senior,Data scientist,103.0,Boston,MA,United States of America,Boston,United States of America,Médio,False,42.357603,-71.068432,Massachusetts
3.3,Intellectual Ventures,501 to 1000 employees,2000.0,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,,Data scientist,103.0,Bellevue,WA,United States of America,Bellevue,United States of America,Médio,False,47.619899,-122.207371,Washington
